55765,5
55613,10
54941,7
54676,7
52897,1
52895,1
52636,1
52328,4
52327,6
52153,44
51655,7
51584,15
51507,0
51476,18
51286,3
51074,3
50856,6
50219,15
49768,6
49705,12
49694,8
49520,71
49471,146
49469,12
49468,30
49467,30
49466,10
49465,26
49420,29
49208,58
48738,19
48726,0
48709,70
48541,20
48179,0
48103,80
48101,21
47717,9
47545,41
47544,6
47285,52
46086,0
45999,5
45863,45
45852,23
45851,12
45849,29
45848,22
45847,16
45842,7
45841,8
45622,41
45606,3
45145,70
44823,4
44616,61
43103,70
42435,1
42202,61
42155,7
41924,38
41837,93
41777,133
41776,36
41771,119
41707,85
41548,31
41434,112
41405,45
41299,81
35181,14
32543,156
32055,31
30856,88
30840,8
29625,124
24972,290
24740,200
23173,21
20878,594
19978,418
17664,895
16519,0
13492,14
2142,55
